inserttime,period,maximum,minimum,mean,volatilty,fd,return
11/29/22 16:28,1,7.81155,7.80965,7.810536281,0.0019,0,0
11/29/22 16:34,2,7.81105,7.810425,7.810694264,0.000625,200000,2.02E-05
11/29/22 16:41,3,7.81085,7.81045,7.810568333,0.0004,1057500,-1.61E-05
11/29/22 16:48,4,7.81126,7.81044,7.810743889,0.00082,967073.1707,2.25E-05
11/29/22 16:54,5,7.81095,7.810295,7.810592639,0.000655,500763.3588,-1.94E-05
11/29/22 17:00,6,7.812,7.810395,7.810799917,0.001605,496573.2087,2.65E-05
11/29/22 17:06,7,7.81135,7.81035,7.810995375,0.001,152000,2.50E-05
11/29/22 17:12,8,7.81125,7.81055,7.810899722,0.0007,302857.1429,-1.22E-05
11/29/22 17:19,9,7.81165,7.81075,7.811163611,0.0009,275555.5556,3.38E-05
11/29/22 17:25,10,7.81215,7.81135,7.811572083,0.0008,170000,5.23E-05
11/29/22 17:31,11,7.81175,7.81105,7.811444722,0.0007,211428.5714,-1.63E-05
11/29/22 17:37,12,7.81245,7.81115,7.811739167,0.0013,287692.3077,3.77E-05
11/29/22 17:43,13,7.81205,7.81145,7.811724861,0.0006,178333.3333,-1.83E-06
11/29/22 17:49,14,7.81225,7.81085,7.811525208,0.0014,437857.1429,-2.56E-05
11/29/22 17:56,15,7.81175,7.81065,7.811089444,0.0011,177272.7273,-5.58E-05
11/29/22 18:02,16,7.81175,7.8098,7.810658444,0.00195,286666.6667,-5.52E-05
11/29/22 18:07,17,7.81045,7.809795,7.809966264,0.000655,224427.4809,-8.86E-05
11/29/22 18:14,18,7.81075,7.810025,7.81024475,0.000725,645517.2414,3.57E-05
11/29/22 18:19,19,7.81055,7.81005,7.810235083,0.0005,326000,-1.24E-06
11/29/22 18:25,20,7.81025,7.80995,7.810151028,0.0003,253333.3333,-1.08E-05
11/29/22 18:31,21,7.81145,7.81005,7.810429972,0.0014,275714.2857,3.57E-05
11/29/22 18:37,22,7.81175,7.810375,7.811037944,0.001375,134545.4545,7.78E-05
11/29/22 18:43,23,7.81105,7.8107,7.810862722,0.00035,214285.7143,-2.24E-05
11/29/22 18:49,24,7.81115,7.81076,7.81091875,0.00039,1035897.436,7.17E-06
11/29/22 18:55,25,7.81135,7.81075,7.810893861,0.0006,430000,-3.19E-06
11/29/22 19:01,26,7.81125,7.810765,7.810896847,0.000485,457731.9588,3.82E-07
11/29/22 19:08,27,7.81123,7.8107,7.810984097,0.00053,500000,1.12E-05
11/29/22 19:14,28,7.81205,7.8111,7.811464653,0.00095,443157.8947,6.15E-05
11/29/22 19:21,29,7.81205,7.81145,7.811641625,0.0006,278333.3333,2.27E-05
11/29/22 19:28,30,7.81195,7.811525,7.811710889,0.000425,670588.2353,8.87E-06
11/29/22 19:34,31,7.81235,7.81175,7.811960903,0.0006,716666.6667,3.20E-05
11/29/22 19:40,32,7.81225,7.81204,7.812131153,0.00021,785714.2857,2.18E-05
11/29/22 19:46,33,7.81235,7.811845,7.812047264,0.000505,1411881.188,-1.07E-05
11/29/22 19:53,34,7.81255,7.81195,7.812192958,0.0006,710000,1.86E-05
11/29/22 19:59,35,7.81305,7.812085,7.812613361,0.000965,355440.4145,5.38E-05
11/29/22 20:05,36,7.81245,7.812005,7.812283306,0.000445,433707.8652,-4.22E-05
11/29/22 20:11,37,7.81245,7.81215,7.812243722,0.0003,970000,-5.07E-06
11/29/22 20:19,38,7.81245,7.81215,7.812273486,0.0003,1710000,3.81E-06
11/29/22 20:26,39,7.81245,7.811595,7.811977681,0.000855,851461.9883,-3.79E-05
11/29/22 20:33,40,7.81175,7.811115,7.811390806,0.000635,352755.9055,-7.51E-05
11/29/22 20:41,41,7.81135,7.81105,7.811200514,0.0003,1046666.667,-2.44E-05
11/29/22 20:47,42,7.81135,7.81075,7.810964486,0.0006,778333.3333,-3.02E-05
11/29/22 20:54,43,7.81105,7.80963,7.810562458,0.00142,284507.0423,-5.15E-05
11/29/22 21:01,44,7.811,7.809965,7.810309986,0.001035,212560.3865,-3.23E-05
11/29/22 21:07,45,7.81125,7.810455,7.810982181,0.000795,247798.7421,8.61E-05
11/29/22 21:14,46,7.81115,7.810825,7.810997889,0.000325,581538.4615,2.01E-06
11/29/22 21:21,47,7.81135,7.810825,7.81105225,0.000525,860952.381,6.96E-06
11/29/22 21:27,48,7.81135,7.80962,7.810786903,0.00173,295953.7572,-3.40E-05
11/29/22 21:33,49,7.81055,7.80965,7.810124472,0.0009,132222.2222,-8.48E-05
11/29/22 21:39,50,7.81055,7.809965,7.810335778,0.000585,446153.8462,2.71E-05
11/29/22 21:45,51,7.81015,7.809605,7.8098565,0.000545,429357.7982,-6.14E-05
11/29/22 21:51,52,7.80995,7.80965,7.809779653,0.0003,730000,-9.84E-06
11/29/22 21:58,53,7.80995,7.80915,7.809619556,0.0008,936250,-2.05E-05
11/29/22 22:04,54,7.80965,7.809205,7.809393236,0.000445,449438.2022,-2.90E-05
11/29/22 22:10,55,7.80965,7.809105,7.809363764,0.000545,645871.5596,-3.77E-06
11/29/22 22:16,56,7.80935,7.808155,7.808538125,0.001195,374058.5774,-0.000105724
11/29/22 22:22,57,7.80875,7.80812,7.808439306,0.00063,284126.9841,-1.27E-05
11/29/22 22:28,58,7.80885,7.808215,7.808618028,0.000635,529133.8583,2.29E-05
11/29/22 22:34,59,7.80895,7.80825,7.808618194,0.0007,421428.5714,2.13E-08
11/29/22 22:40,60,7.80855,7.807635,7.808079153,0.000915,374863.388,-6.90E-05
11/29/22 22:47,61,7.80785,7.807105,7.807480903,0.000745,303355.7047,-7.66E-05
11/29/22 22:53,62,7.80785,7.80755,7.807630111,0.0003,480000,1.91E-05
11/29/22 22:59,63,7.80805,7.807105,7.807591167,0.000945,830687.8307,-4.99E-06
11/29/22 23:05,64,7.80915,7.807875,7.808638708,0.001275,258823.5294,0.00013417
11/29/22 23:11,65,7.80906,7.80825,7.808702208,0.00081,177777.7778,8.13E-06
11/29/22 23:17,66,7.80905,7.8087,7.808885556,0.00035,525714.2857,2.35E-05
11/29/22 23:23,67,7.80925,7.80885,7.808967639,0.0004,815000,1.05E-05
11/29/22 23:29,68,7.80915,7.80885,7.808931069,0.0003,1090000,-4.68E-06
11/29/22 23:35,69,7.80925,7.808875,7.809035181,0.000375,904000,1.33E-05
11/29/22 23:41,70,7.80905,7.80723,7.807598028,0.00182,85714.28571,-0.000184037
11/29/22 23:47,71,7.80775,7.807245,7.807491319,0.000505,176237.6238,-1.37E-05
11/29/22 23:53,72,7.80795,7.80765,7.807740111,0.0003,840000,3.19E-05
11/29/22 23:59,73,7.80795,7.80765,7.807793153,0.0003,1140000,6.79E-06
11/30/22 0:04,74,7.80805,7.80765,7.807803431,0.0004,1337500,1.32E-06
11/30/22 0:10,75,7.80795,7.80762,7.807732542,0.00033,927272.7273,-9.08E-06
11/30/22 0:16,76,7.80795,7.80765,7.807750847,0.0003,1366666.667,2.34E-06
11/30/22 0:22,77,7.80785,7.807545,7.807678097,0.000305,1190163.934,-9.32E-06
11/30/22 0:28,78,7.80785,7.807545,7.807649333,0.000305,1967213.115,-3.68E-06
11/30/22 0:33,79,7.80785,7.80755,7.807641653,0.0003,1583333.333,-9.84E-07
11/30/22 0:39,80,7.80785,7.80755,7.80763375,0.0003,1500000,-1.01E-06
11/30/22 0:45,81,7.80785,7.80755,7.807662986,0.0003,1130000,3.74E-06
11/30/22 0:51,82,7.80795,7.80745,7.807709361,0.0005,1102000,5.94E-06
11/30/22 0:57,83,7.80785,7.80765,7.807733764,0.0002,1195000,3.13E-06
11/30/22 1:03,84,7.80805,7.80761,7.807747458,0.00044,1495454.545,1.75E-06
11/30/22 1:09,85,7.80795,7.80761,7.807714319,0.00034,1064705.882,-4.24E-06
11/30/22 1:15,86,7.80795,7.806015,7.807270792,0.001935,288372.093,-5.68E-05
11/30/22 1:20,87,7.80645,7.80554,7.806056417,0.00091,132967.033,-0.000155544
11/30/22 1:26,88,7.80645,7.805045,7.805800958,0.001405,249822.0641,-3.27E-05
11/30/22 1:32,89,7.805495,7.80266,7.804114444,0.002835,111111.1111,-0.000216059
11/30/22 1:38,90,7.80345,7.80259,7.802908681,0.00086,122093.0233,-0.000154504
11/30/22 1:44,91,7.80545,7.80282,7.804915431,0.00263,117490.4943,0.00025718
11/30/22 1:50,92,7.80565,7.804825,7.805262319,0.000825,90909.09091,4.44E-05
11/30/22 1:55,93,7.8056,7.80505,7.805331333,0.00055,450909.0909,8.84E-06
11/30/22 2:01,94,7.80525,7.80415,7.804708681,0.0011,319090.9091,-7.98E-05
11/30/22 2:07,95,7.80435,7.80275,7.803196611,0.0016,146875,-0.000193738
11/30/22 2:13,96,7.80305,7.802295,7.802715014,0.000755,156291.3907,-6.17E-05
11/30/22 2:19,97,7.805165,7.80215,7.802840042,0.003015,137645.1078,1.60E-05
11/30/22 2:25,98,7.80525,7.80366,7.804257042,0.00159,56603.77358,0.000181601
11/30/22 2:30,99,7.804165,7.80285,7.803577278,0.001315,192395.4373,-8.71E-05
11/30/22 2:36,100,7.804285,7.80285,7.803705417,0.001435,257839.7213,1.64E-05